mm/dd/yy-HH:MM,Int,Ext,Tds,Sal,Con,Bat
3/22/20-8:34,69.8,70.7,21,0,39.27,4.21
3/22/20-9:04,69.8,70.7,21,0,39.65,4.21
3/22/20-9:34,69.8,70.7,21,0,39.28,4.21
3/22/20-10:04,70.7,70.7,21,0,39.66,4.21
3/22/20-10:34,71.6,70.7,22,0,40.39,4.21
3/22/20-10:34,71.6,70.7,22,0,40.39,4.21
3/22/20-11:34,73.4,71.6,22,0,40.33,4.21
3/22/20-12:04,73.4,70.7,22,0,41.12,4.21
3/22/20-12:34,73.4,71.6,22,0,40.69,4.21
3/22/20-13:04,73.4,71.6,22,0,41.07,4.21
3/22/20-13:34,73.4,71.6,22,0,41.44,4.21
3/22/20-14:04,73.4,71.6,22,0,41.44,4.21
3/22/20-14:34,75.2,71.6,23,0,42.16,4.21
3/22/20-15:04,77,71.6,23,0,42.52,4.21
3/22/20-15:34,77,71.6,23,0,42.9,4.21
3/22/20-16:04,77.9,71.6,24,0,43.62,4.21
3/22/20-16:34,77.9,71.6,24,0,43.62,4.21
3/22/20-17:04,75.2,71.6,23,0,42.9,4.21
3/22/20-17:34,74.3,71.6,23,0,43.28,4.21
3/22/20-18:04,73.4,71.6,23,0,43.28,4.21
3/22/20-18:34,72.5,71.6,23,0,43.29,4.21
3/22/20-19:04,71.6,71.6,24,0,43.64,4.21
3/22/20-19:34,71.6,71.6,24,0,43.64,4.21
3/22/20-20:04,70.7,71.6,23,0,43.3,4.21
3/22/20-20:34,70.7,71.6,24,0,44.02,4.21
3/22/20-21:04,70.7,71.6,24,0,44.03,4.21
3/22/20-21:34,70.7,71.6,24,0,44.4,4.21
3/22/20-22:04,70.7,70.7,24,0,44.88,4.21
3/22/20-22:34,70.7,70.7,24,0,44.88,4.21
3/22/20-23:04,70.7,71.6,24,0,45.13,4.21
3/22/20-23:34,70.7,71.6,25,0,45.49,4.21
3/23/20-0:04,70.7,71.6,25,0,45.49,4.21
3/23/20-0:34,70.7,71.6,25,0,45.49,4.21
3/23/20-1:04,70.7,71.6,25,0,45.86,4.21
3/23/20-1:34,70.7,71.6,25,0,46.24,4.21
3/23/20-2:04,70.7,71.6,25,0,46.24,4.21
3/23/20-2:34,70.7,71.6,25,0,46.59,4.21
3/23/20-3:04,70.7,71.6,23,0,43.29,4.21
3/23/20-3:34,70.7,71.6,23,0,42.54,4.21
3/23/20-4:04,70.7,71.6,20,0,37.02,4.21
3/23/20-4:34,70.7,71.6,18,0,33.71,4.21
3/23/20-5:04,70.7,71.6,18,0,32.62,4.21
3/23/20-5:34,70.7,71.6,17,0,32.25,4.21
3/23/20-6:04,70.7,71.6,17,0,31.52,4.21
3/23/20-6:34,70.7,70.7,17,0,32.21,4.21
3/23/20-7:04,70.7,71.6,17,0,32.25,4.21
3/23/20-7:34,70.7,71.6,18,0,32.62,4.21
3/23/20-8:04,70.7,71.6,18,0,32.97,4.21
3/23/20-8:34,71.6,71.6,17,0,31.87,4.21
3/23/20-9:04,72.5,71.6,17,0,31.51,4.21
3/23/20-9:34,72.5,71.6,17,0,30.76,4.21
3/23/20-10:04,73.4,71.6,16,0,30.02,4.21
